text,label
them can CLITIC talk ,0
hi ,0
why ,0
you horse ,0
I don CLITIC know ,0
no ,0
no ,0
no ,0
no don CLITIC wanna CLITIC ,0
no ,0
you hafta CLITIC put it in and then ,0
and then you pick it up and say ,0
I don CLITIC want ,0
only one teacup ,0
where ,0
I CLITIC gonna CLITIC have this teacup ,0
the saucers ,0
no ,0
yes ,0
here cookies ,0
these are cookies ,0
orange ,0
blueberries ,0
I dipped it ,0
yeah ,0
banana ,0
mm taste it ,0
I don CLITIC know ,0
I think so ,0
yes you may ,0
no my Momma CLITIC feeding me ,0
no ,0
time to take your pajamies off ,0
take her pajamies off ,0
yeah ,0
no ,0
yeah ,0
maybe it CLITIC time to give her bath ,0
bath time girl ,0
washa ,0
she kicking ,0
in the house ,0
I dunno CLITIC CLITIC ,0
you can CLITIC you can CLITIC stand ,0
you re CLITIC gonna CLITIC fall and hurt yourself ,0
I CLITIC gonna CLITIC jump in the water ,0
yeah ,0
I can CLITIC reach ,0
yeah maybe you can come in ,0
bring it no ,0
yeah her get naked ,0
you re CLITIC baby ,0
baby ,0
come ,0
hi Mama ,0
here the mama ,0
a big sister ,0
cold ,0
we in pool at Grandma ,0
no ,0
oh oh you all right ,0
come on my back with me ,0
baby ,0
stuck ,0
fell ,0
no ,0
no ,0
why ,0
because we re CLITIC hafta CLITIC go ,0
no Mommy wanna CLITIC be mama ,0
 want you be mama ,0
no no ,0
yeah ,0
her toes her eyes ,0
look ,0
bath ,0
no ,0
no m CLITIC gonna CLITIC cuddle you ,0
put your clothes back on ,0
and you gonna CLITIC put the baby away ,0
but but don CLITIC wanna CLITIC put the baby baby away ,0
her big brother ,0
a brother ,0
her big sister ,0
no no not yet ,0
why it CLITIC time to get dressed ,0
it it CLITIC time to get dressed big sister ,0
what CLITIC this let CLITIC cuddle ,0
no that CLITIC bath ,0
still swimming in the bath ,0
I can CLITIC ,0
where CLITIC the other toy ,0
hey look at ,0
a toothpaste ,0
what is ,0
hair ,0
she wants to brush her hair ,0
put ,0
 would you like v ,0
tea ,0
I filled some of her tea ,0
maybe ,0
I can pour ,0
now baby ,0
her name is ,0
there CLITIC another baby ,0
her hat does come off ,0
hello ,0
her hand ,0
day day ,0
no ,0
don CLITIC wanna CLITIC drink all of it ,0
I need another one need refill ,0
I need refill ,0
I need to it ,0
you ,0
I have enough ,0
stir ,0
my flavor break ,0
it CLITIC time to go away ,0
more more ,0
it CLITIC going to Africa follow me ,0
I broke my tea ,0
that CLITIC toothpaste tube ,0
I don CLITIC think so ,0
I don CLITIC wanna CLITIC it in her mouth ,0
she drink it all ,0
can we take the top off ,0
too ,0
me ,0
feel her tummy ,0
I wiped her hole in her mouth ,0
maybe feed ,0
is there something in here ,0
milk ,0
she CLITIC ballerina now ,0
a sitting down move ,0
I want brush her hair ,0
I wanna CLITIC brush her hair ,0
I wanna CLITIC move ,0
I wanna CLITIC brush it like that ,0
I way something ,0
wow ,0
look ,0
no move ,0
I wanna CLITIC brush her body ,0
she doesn CLITIC like that ,0
no ,0
no ,0
no ,0
but wanna CLITIC have some more toys ,0
but can have some ,0
but wanna CLITIC take this ,0
but wanna CLITIC brush my hair with ,0
and want one piece one of tea ,0
nothing else to throw in the box ,0
but wanna CLITIC play with more ,0
there CLITIC two ,0
sometimes we need my eyedrops ,0
hm horsie ,0
I wanna CLITIC find another thing ,0
hm no ,0
no ,0
no ,0
play with this ,0
nah ,0
too babyish ,0
hm yeah ,0
hm tea ,0
hm ,0
hm watermelon tea ,0
hm don CLITIC get ,0
oh chamomile tea ,0
hm tea ,0
tea ,0
no ,0
honey and ,0
but ,0
it CLITIC not really real phone ,0
that CLITIC why ,0
yeah ,0
no like babies ,0
hm don CLITIC know what wanna CLITIC do ,0
yeah ,0
not yet ,0
hey how about add some honey ,0
hm this is honey ,0
all finished now ,0
I want some more ,0
yeah ,0
cranberry ,0
yeah ,0
no we re CLITIC doing our tea now ,0
hm don CLITIC know ,0
cheese stick ,0
no ,0
I got so more tea ,0
where ,0
yeah ,0
water ,0
sure get some water for you ,0
not yet ,0
open this ,0
I need spoon ,0
cheers ,0
yes ,0
yeah do it on the floor ,0
no ,0
can you help me ,0
oh yeah ,0
yeah ,0
tea ,1
a blocks ,1
falling ,1
having tea party ,1
yeah ,1
no the bottle ,1
the bottle drink it ,1
oh wait ,1
big one ,1
the water CLITIC gone ,1
no ,1
we are build blocks ,1
woah ,1
heavy ,1
 won ,1
do it ,1
it falling ,1
easy ,1
easy ,1
yes ,1
no wait ,1
no ,1
no ,1
back ,1
no ,1
no ,1
no ,1
no ,1
no no ,1
blocks ,1
I got it ,1
got it ,1
be careful ,1
I CLITIC cleaning up ,1
tea party ,1
tea name ,1
no ,1
stand up ,1
stand up ,1
I can come here ,1
and now this one ,1
it CLITIC on there ,1
like this ,1
ah can like this ,1
a bottle ,1
oh no baby ,1
no ,1
no ,0
hold it and put in babies ,0
yeah ,0
baby take ,0
give feed babies ,0
okay ,0
more ,0
here we go ,0
finished ,0
and coffee for me ,0
coffee for me ,0
I CLITIC coffee for me ,0
huh ,0
don CLITIC touch ,0
I tell you you touch okay ,0
I tell you you touch ,0
I tell you you touch ,0
I tell you you touch and you touch ,0
let CLITIC go ,0
what gonna CLITIC happen ,0
see it gonna CLITIC fall ,0
it gonna CLITIC fall this blocks ,0
block on ,0
block on ,0
block on mooshie watch ,0
I not falling ,0
do not fall ,0
ici bon call you ,0
I call doctor ,0
I call doctor ,0
baby have booboo and baby have the kiss for the ,0
have baby the doctor ,0
have baby ,0
her belly hurt ,0
see belly hurt ,0
baby belly hurt ,0
baby the belly hurt with this clothes ,0
baby belly hurt this clothes ,0
baby went pee pee on the clothes ,0
yes ,0
